date_time,game_count,day_of_week,hour_of_day,num_day_of_week,month,day_of_month
2015-11-04 16:00:00,20,wed,16,2,11,4
2015-11-04 17:00:00,15,wed,17,2,11,4
2015-11-04 18:00:00,14,wed,18,2,11,4
2015-11-04 19:00:00,27,wed,19,2,11,4
2015-11-04 20:00:00,36,wed,20,2,11,4
2015-11-04 21:00:00,48,wed,21,2,11,4
2015-11-04 22:00:00,31,wed,22,2,11,4
2015-11-04 23:00:00,70,wed,23,2,11,4
2015-11-05 00:00:00,19,thur,0,3,11,5
2015-11-05 01:00:00,20,thur,1,3,11,5
2015-11-05 02:00:00,44,thur,2,3,11,5
2015-11-05 03:00:00,47,thur,3,3,11,5
2015-11-05 04:00:00,54,thur,4,3,11,5
2015-11-05 05:00:00,12,thur,5,3,11,5
2015-11-05 06:00:00,5,thur,6,3,11,5
2015-11-05 07:00:00,14,thur,7,3,11,5
2015-11-05 08:00:00,22,thur,8,3,11,5
2015-11-05 09:00:00,16,thur,9,3,11,5
2015-11-05 10:00:00,29,thur,10,3,11,5
2015-11-05 11:00:00,35,thur,11,3,11,5
2015-11-05 12:00:00,25,thur,12,3,11,5
2015-11-05 13:00:00,16,thur,13,3,11,5
2015-11-05 14:00:00,14,thur,14,3,11,5
2015-11-05 15:00:00,16,thur,15,3,11,5
2015-11-05 16:00:00,26,thur,16,3,11,5
2015-11-05 17:00:00,21,thur,17,3,11,5
2015-11-05 18:00:00,18,thur,18,3,11,5
2015-11-05 19:00:00,35,thur,19,3,11,5
2015-11-05 20:00:00,62,thur,20,3,11,5
2015-11-05 21:00:00,54,thur,21,3,11,5
2015-11-05 22:00:00,58,thur,22,3,11,5
2015-11-05 23:00:00,57,thur,23,3,11,5
2015-11-06 00:00:00,30,fri,0,4,11,6
2015-11-06 01:00:00,48,fri,1,4,11,6
2015-11-06 02:00:00,27,fri,2,4,11,6
2015-11-06 03:00:00,13,fri,3,4,11,6
2015-11-06 04:00:00,30,fri,4,4,11,6
2015-11-06 05:00:00,30,fri,5,4,11,6
2015-11-06 06:00:00,10,fri,6,4,11,6
2015-11-06 07:00:00,24,fri,7,4,11,6
2015-11-06 08:00:00,20,fri,8,4,11,6
2015-11-06 09:00:00,14,fri,9,4,11,6
2015-11-06 10:00:00,14,fri,10,4,11,6
2015-11-06 11:00:00,48,fri,11,4,11,6
2015-11-06 12:00:00,61,fri,12,4,11,6
2015-11-06 13:00:00,53,fri,13,4,11,6
2015-11-06 14:00:00,38,fri,14,4,11,6
2015-11-06 15:00:00,49,fri,15,4,11,6
2015-11-06 16:00:00,41,fri,16,4,11,6
2015-11-06 17:00:00,17,fri,17,4,11,6
2015-11-06 18:00:00,23,fri,18,4,11,6
2015-11-06 19:00:00,30,fri,19,4,11,6
2015-11-06 20:00:00,64,fri,20,4,11,6
2015-11-06 21:00:00,47,fri,21,4,11,6
2015-11-06 22:00:00,90,fri,22,4,11,6
2015-11-06 23:00:00,66,fri,23,4,11,6
2015-11-07 00:00:00,27,sat,0,5,11,7
2015-11-07 01:00:00,20,sat,1,5,11,7
2015-11-07 02:00:00,47,sat,2,5,11,7
2015-11-07 03:00:00,32,sat,3,5,11,7
2015-11-07 04:00:00,19,sat,4,5,11,7
2015-11-07 05:00:00,20,sat,5,5,11,7
2015-11-07 06:00:00,33,sat,6,5,11,7
2015-11-07 07:00:00,7,sat,7,5,11,7
2015-11-07 08:00:00,9,sat,8,5,11,7
2015-11-07 09:00:00,19,sat,9,5,11,7
2015-11-07 10:00:00,10,sat,10,5,11,7
2015-11-07 11:00:00,38,sat,11,5,11,7
2015-11-07 12:00:00,34,sat,12,5,11,7
2015-11-07 13:00:00,43,sat,13,5,11,7
2015-11-07 14:00:00,39,sat,14,5,11,7
2015-11-07 15:00:00,55,sat,15,5,11,7
2015-11-07 16:00:00,23,sat,16,5,11,7
2015-11-07 17:00:00,50,sat,17,5,11,7
2015-11-07 18:00:00,37,sat,18,5,11,7
2015-11-07 19:00:00,48,sat,19,5,11,7
2015-11-07 20:00:00,54,sat,20,5,11,7
2015-11-07 21:00:00,68,sat,21,5,11,7
2015-11-07 22:00:00,74,sat,22,5,11,7
2015-11-07 23:00:00,18,sat,23,5,11,7
2015-11-08 00:00:00,30,sun,0,6,11,8
2015-11-08 01:00:00,11,sun,1,6,11,8
2015-11-08 02:00:00,14,sun,2,6,11,8
2015-11-08 03:00:00,28,sun,3,6,11,8
2015-11-08 04:00:00,13,sun,4,6,11,8
2015-11-08 05:00:00,9,sun,5,6,11,8
2015-11-08 06:00:00,10,sun,6,6,11,8
2015-11-08 07:00:00,21,sun,7,6,11,8
2015-11-08 08:00:00,19,sun,8,6,11,8
2015-11-08 09:00:00,4,sun,9,6,11,8
2015-11-08 10:00:00,14,sun,10,6,11,8
2015-11-08 11:00:00,16,sun,11,6,11,8
2015-11-08 12:00:00,17,sun,12,6,11,8
2015-11-08 13:00:00,22,sun,13,6,11,8
2015-11-08 14:00:00,26,sun,14,6,11,8
2015-11-08 15:00:00,60,sun,15,6,11,8
2015-11-08 16:00:00,24,sun,16,6,11,8
2015-11-08 17:00:00,50,sun,17,6,11,8
2015-11-08 18:00:00,28,sun,18,6,11,8
2015-11-08 19:00:00,36,sun,19,6,11,8
2015-11-08 20:00:00,55,sun,20,6,11,8
2015-11-08 21:00:00,67,sun,21,6,11,8
2015-11-08 22:00:00,90,sun,22,6,11,8
2015-11-08 23:00:00,21,sun,23,6,11,8
2015-11-09 00:00:00,28,mon,0,0,11,9
2015-11-09 01:00:00,19,mon,1,0,11,9
2015-11-09 02:00:00,23,mon,2,0,11,9
2015-11-09 03:00:00,10,mon,3,0,11,9
2015-11-09 04:00:00,6,mon,4,0,11,9
2015-11-09 05:00:00,9,mon,5,0,11,9
2015-11-09 06:00:00,10,mon,6,0,11,9
2015-11-09 07:00:00,19,mon,7,0,11,9
2015-11-09 08:00:00,14,mon,8,0,11,9
2015-11-09 09:00:00,11,mon,9,0,11,9
2015-11-09 10:00:00,6,mon,10,0,11,9
2015-11-09 11:00:00,22,mon,11,0,11,9
2015-11-09 12:00:00,46,mon,12,0,11,9
2015-11-09 13:00:00,30,mon,13,0,11,9
2015-11-09 14:00:00,38,mon,14,0,11,9
2015-11-09 15:00:00,36,mon,15,0,11,9
2015-11-09 16:00:00,25,mon,16,0,11,9
2015-11-09 17:00:00,60,mon,17,0,11,9
2015-11-09 18:00:00,48,mon,18,0,11,9
2015-11-09 19:00:00,41,mon,19,0,11,9
2015-11-09 20:00:00,56,mon,20,0,11,9
2015-11-09 21:00:00,38,mon,21,0,11,9
2015-11-09 22:00:00,49,mon,22,0,11,9
2015-11-09 23:00:00,13,mon,23,0,11,9
2015-11-10 00:00:00,7,tue,0,1,11,10
2015-11-10 01:00:00,7,tue,1,1,11,10
2015-11-10 02:00:00,9,tue,2,1,11,10
2015-11-10 03:00:00,8,tue,3,1,11,10
2015-11-10 04:00:00,6,tue,4,1,11,10
2015-11-10 05:00:00,11,tue,5,1,11,10
2015-11-10 06:00:00,27,tue,6,1,11,10
2015-11-10 07:00:00,5,tue,7,1,11,10
2015-11-10 08:00:00,14,tue,8,1,11,10
2015-11-10 09:00:00,14,tue,9,1,11,10
2015-11-10 10:00:00,14,tue,10,1,11,10
2015-11-10 11:00:00,11,tue,11,1,11,10
2015-11-10 12:00:00,32,tue,12,1,11,10
2015-11-10 13:00:00,38,tue,13,1,11,10
2015-11-10 14:00:00,45,tue,14,1,11,10
2015-11-10 15:00:00,37,tue,15,1,11,10
2015-11-10 16:00:00,30,tue,16,1,11,10
2015-11-10 17:00:00,43,tue,17,1,11,10
2015-11-10 18:00:00,23,tue,18,1,11,10
2015-11-10 19:00:00,31,tue,19,1,11,10
2015-11-10 20:00:00,34,tue,20,1,11,10
2015-11-10 21:00:00,34,tue,21,1,11,10
2015-11-10 22:00:00,44,tue,22,1,11,10
2015-11-10 23:00:00,25,tue,23,1,11,10
2015-11-11 00:00:00,28,wed,0,2,11,11
2015-11-11 01:00:00,40,wed,1,2,11,11
2015-11-11 02:00:00,23,wed,2,2,11,11
2015-11-11 03:00:00,26,wed,3,2,11,11
2015-11-11 04:00:00,11,wed,4,2,11,11
